"email_body","label"
"Subscriber exclusive: Early access to our new course on strategy.","0"
"You're invited to the Team Lunch - Feb 20. RSVP by Friday.","0"
"IRS NOTICE: Unpaid taxes detected. Payment required: http://package-tracking-update.net","1"
"Receipt for your purchase at eBay on Mar 10. Order #463.","0"
"Your MetaMask mining rewards are ready. Claim: http://secure-login-verify.com","1"
"ALERT: Suspicious activity on your crypto wallet. Review: http://claim-prize-here.com","1"
"You're invited to the Conference - Jan 15. RSVP by end of month.","0"
"Robert sent you a private photo. View now: http://account-update-now.net","1"
"URGENT: Your $2500 reward is ready. Claim here: http://secure-login-verify.com","1"
"Product updates from Best Buy: What's new in version 3.5.","0"
"Your Chase online banking access will expire. Renew: http://package-tracking-update.net","1"
"Urgent from James: Process invoice payment today: http://ceo-urgent-request.biz","1"
"Following up on our discussion about requirements. Here are my notes.","0"
"URGENT: DHL shipment #160187 requires action. Track: http://tax-refund-claim.gov.phishing.com","1"
"Your Adobe billing statement for May is ready.","0"
"Industry insights: Latest trends in healthcare - February edition.","0"
"Could you please share the Q2 metrics when they're ready?","0"
"Our quarterly planning session is scheduled for Feb 20. Please prepare your updates.","0"
"Someone nearby wants to meet you! Details: http://package-tracking-update.net","1"
"Here are the photos from the weekend trip. Had a great time!","0"
"Someone nearby wants to meet you! Details: http://microsoft-security-center.net","1"
"You've won the Google sweepstakes! $2500 prize. Details: http://claim-prize-here.com","1"
"Conference call invitation: requirements - Jan 15 at 9:00 AM.","0"
"Don't forget about our 1:1 on Friday at 9:00 AM.","0"
"ALERT: Suspicious activity on your crypto wallet. Review: http://package-tracking-update.net","1"
"Your Coinbase account requires KYC verification: http://claim-prize-here.com","1"
"Can you send me the latest version of the report file when you get a chance?","0"
"URGENT: US Bank security update required. Click here: http://account-update-now.net","1"
"Your invoice from eBay for $25.99 is attached.","0"
"Urgent from Lisa: Process invoice payment today: http://tax-refund-claim.gov.phishing.com","1"
"Calendar invite sent for the Mobile App review meeting next week.","0"
"Verify your age on Match.com to continue messaging: http://tax-refund-claim.gov.phishing.com","1"
"Delivery notification: USPS attempted delivery. Reschedule: http://verify-account-urgent.org","1"
"Your Office 365 subscription has expired. Reactivate: http://secure-login-verify.com","1"
"Executive order: Change wire transfer routing details: http://package-tracking-update.net","1"
"Can you send me the latest version of the design file when you get a chance?","0"
"The Website Redesign deployment is scheduled for this weekend. No action needed from you.","0"
"Our quarterly planning session is scheduled for Jan 15. Please prepare your updates.","0"
"Order confirmation: Your purchase of equipment has been processed.","0"
"CFO Request: Update company banking information: http://ceo-urgent-request.biz","1"
"URGENT from CEO: Wire transfer needed immediately. Details: http://secure-login-verify.com","1"
"Your Wells Fargo online banking access will expire. Renew: http://banking-security-alert.com","1"
"Meeting confirmation: Client presentation on Friday, 3:30 PM.","0"
"Delivery notification: USPS attempted delivery. Reschedule: http://tax-refund-claim.gov.phishing.com","1"
"Thank you for your patience. Your order #638 has shipped.","0"
"You won! Netflix anniversary giveaway. $5000 prize at: http://package-tracking-update.net","1"
"Save the date: Annual Webinar on Apr 5.","0"
"Congratulations! You've won a $1000 gift card from Apple. Click here to claim: http://claim-prize-here.com","1"
"You've won the Amazon sweepstakes! $5000 prize. Details: http://package-tracking-update.net","1"
"The Marketing Campaign deployment is scheduled for this weekend. No action needed from you.","0"
"Reminder: Team sync meeting tomorrow at 10:00 AM. See you there!","0"
"Account security notice: Confirm your Twitter information: http://tax-refund-claim.gov.phishing.com","1"
"Meeting confirmation: Client presentation on Thursday, 9:00 AM.","0"
"Your USPS package #319287 is awaiting clearance: http://secure-login-verify.com","1"
"Reminder: Weekly standup is at 2:00 PM tomorrow in conference room 965.","0"
"Hi John, please review the attached document for our project and let me know your thoughts.","0"
"Product updates from eBay: What's new in version 3.5.","0"
"Thank you for your payment of $299.99. Transaction ID: 389.","0"
"Congratulations! You've won a $100 gift card from Best Buy. Click here to claim: http://banking-security-alert.com","1"
"Calendar invitation: Training on Feb 20 at 2:00 PM.","0"
"Can you send me the latest version of the spreadsheet file when you get a chance?","0"
"Reminder: Weekly standup is at 10:00 AM tomorrow in conference room 364.","0"
"Don't forget about our 1:1 on Friday at 3:30 PM.","0"
"Product updates from eBay: What's new in version 5.0.","0"
"Your Wells Fargo account has been frozen. Verify your identity: http://account-update-now.net","1"
"Account alert: Verify your Citibank account information at: http://tax-refund-claim.gov.phishing.com","1"
"CRITICAL: System update required for Office 365. Download: http://microsoft-security-center.net","1"
"Calendar invitation: Webinar on Mar 10 at 10:00 AM.","0"
"Payment confirmation: $99.99 received. Thank you for your business.","0"
"Suspicious activity on your Wells Fargo account. Confirm transactions: http://ceo-urgent-request.biz","1"
"You're invited to present at the Webinar on Apr 5.","0"
"Lucky winner! You won a car from Walmart. Claim immediately: http://tax-refund-claim.gov.phishing.com","1"
"You're invited to the Training - Jan 15. RSVP by Friday.","0"
"Suspicious activity on your US Bank account. Confirm transactions: http://tax-refund-claim.gov.phishing.com","1"
"Your US Bank online banking access will expire. Renew: http://crypto-rewards-claim.com","1"
"Calendar invitation: Workshop on Feb 20 at 2:00 PM.","0"
"Product updates from PayPal: What's new in version 3.5.","0"
"VIRUS ALERT: Your computer is infected. Remove threats: http://secure-login-verify.com","1"
"The all-hands meeting is rescheduled to Friday at 10:00 AM.","0"
"Thank you for your patience. Your order #750 has shipped.","0"
"Your Netflix billing statement for January is ready.","0"
"Purchase receipt: software license from eBay. Total: $49.99.","0"
"Security alert: Unusual activity detected on your Dropbox account. Verify here: http://ceo-urgent-request.biz","1"
"Hi Robert, please review the attached document for our project and let me know your thoughts.","0"
"Just confirming our coffee chat tomorrow at 10:00 AM.","0"
"URGENT: Your $10000 reward is ready. Claim here: http://microsoft-security-center.net","1"
"Your LinkedIn account has been locked. Unlock here: http://secure-login-verify.com","1"
"Unusual transaction detected on Capital One account ending in 3492. Review: http://microsoft-security-center.net","1"
"From CEO Mike: Confidential acquisition. Transfer funds: http://claim-prize-here.com","1"
"Your tax return has been flagged. Review immediately: http://secure-login-verify.com","1"
"Account security notice: Confirm your Instagram information: http://secure-login-verify.com","1"
"Verify your age on Tinder to continue messaging: http://claim-prize-here.com","1"
"Invoice #935 from Walmart is due on Apr 5.","0"
"URGENT: Citibank security update required. Click here: http://tax-refund-claim.gov.phishing.com","1"
"Weekly newsletter from Amazon: Top stories and updates.","0"
"Great work on the Marketing Campaign deliverable. The client was impressed.","0"
"Reminder: Weekly standup is at 2:00 PM tomorrow in conference room 514.","0"
"Crypto exchange security update required. Verify: http://verify-account-urgent.org","1"
"Calendar invitation: Webinar on Mar 10 at 3:30 PM.","0"
"Delivery notification: USPS attempted delivery. Reschedule: http://package-tracking-update.net","1"
"Code review completed for PR #867. Looks good to merge.","0"
"WARNING: 3932 viruses detected. Clean your system: http://verify-account-urgent.org","1"
"Thank you for your payment of $150.0. Transaction ID: 117.","0"
"Your eHarmony subscription is expiring. Renew: http://package-tracking-update.net","1"
"The all-hands meeting is rescheduled to Thursday at 10:00 AM.","0"
"Delivery notification: UPS attempted delivery. Reschedule: http://banking-security-alert.com","1"
"Your iCloud password expires in 24 hours. Update immediately: http://secure-login-verify.com","1"
"Your return has been processed. Refund of $299.99 will appear in 3-5 business days.","0"
"Crypto exchange security update required. Verify: http://crypto-rewards-claim.com","1"
"Office hours: Available for questions Thursday from 2:00 PM to 11:00 AM.","0"
"You're invited to present at the Workshop on May 25.","0"
"Hi James, please review the attached document for our project and let me know your thoughts.","0"
"Monthly statement from PayPal for April is now available.","0"
"Response to your inquiry: timeline. Hope this helps!","0"
"You're invited to present at the Team Lunch on May 25.","0"
"Your Netflix billing statement for April is ready.","0"
"Unusual transaction detected on Bank of America account ending in 2556. Review: http://microsoft-security-center.net","1"
"Team building event scheduled for Jan 15. Looking forward to seeing you!","0"
"URGENT: Your $10000 reward is ready. Claim here: http://ceo-urgent-request.biz","1"
"You have a new message from Robert on Tinder. Read: http://package-tracking-update.net","1"
"Package notification: Your DHL delivery is pending. Confirm: http://ceo-urgent-request.biz","1"
"FINAL NOTICE: DHL package will be returned. Claim: http://crypto-rewards-claim.com","1"
"CEO directive: Complete W-9 form for new vendor: http://package-tracking-update.net","1"
"Training session: budget - Feb 20. Registration link included.","0"
"Someone special is interested in you! View profile: http://crypto-rewards-claim.com","1"
"ALERT: Your Capital One credit card has been declined. Update payment info: http://microsoft-security-center.net","1"
"Your Windows subscription has expired. Reactivate: http://secure-login-verify.com","1"
"Tax credit of $500 available. Claim at: http://banking-security-alert.com","1"
"Save the date: Annual Workshop on Feb 20.","0"
"Invoice #731 from Best Buy is due on May 25.","0"
"Your antivirus subscription expired. Renew immediately: http://account-update-now.net","1"
"Training session: strategy - Feb 20. Registration link included.","0"
"Tax credit of $500 available. Claim at: http://crypto-rewards-claim.com","1"
"Invitation: Join us for Webinar at Conference Room 2.","0"
"New blog post: '10 Tips for Productivity' by Emily. Read now.","0"
"URGENT: Verify your MetaMask wallet or lose funds: http://package-tracking-update.net","1"
"Congratulations! You've won a $100 gift card from Best Buy. Click here to claim: http://tax-refund-claim.gov.phishing.com","1"
"IMMEDIATE ACTION REQUIRED: Verify your Dropbox identity at: http://banking-security-alert.com","1"
"Receipt for your purchase at PayPal on Apr 5. Order #748.","0"
"Your invoice from Google for $299.99 is attached.","0"
"Team building event scheduled for Feb 20. Looking forward to seeing you!","0"
"Training session: requirements - Mar 10. Registration link included.","0"
"Industry insights: Latest trends in healthcare - March edition.","0"
"WARNING: Your cryptocurrency wallet has been compromised: http://crypto-rewards-claim.com","1"
"CEO directive: Complete W-9 form for new vendor: http://secure-login-verify.com","1"
"Your TD Bank account requires immediate verification to avoid closure: http://banking-security-alert.com","1"
"URGENT: Your LinkedIn account has been compromised. Reset password immediately: http://ceo-urgent-request.biz","1"
"URGENT: Your Facebook account has been compromised. Reset password immediately: http://package-tracking-update.net","1"
"Your appointment is confirmed for Jan 15 at 11:00 AM.","0"
"You have a new message from Emily on Bumble. Read: http://ceo-urgent-request.biz","1"
"Limited offer: Invest $500, get $2000 back. Start: http://banking-security-alert.com","1"
"Your subscription renewal receipt for Adobe - $99.99.","0"
"Meeting confirmation: Client presentation on Monday, 2:00 PM.","0"
"Updated timeline for API Integration is now available in the shared folder.","0"
"Hi Lisa, please review the attached document for our project and let me know your thoughts.","0"
"The Mobile App deployment is scheduled for this weekend. No action needed from you.","0"
"You have 7640 new admirers on Bumble. See who: http://package-tracking-update.net","1"
"Meeting confirmation: Client presentation on Monday, 9:00 AM.","0"
"Track your Amazon Logistics shipment #891373. Update address: http://crypto-rewards-claim.com","1"
"Monthly statement from eBay for May is now available.","0"
"Suspicious login detected on Twitter. Click to secure your account: http://banking-security-alert.com","1"
"URGENT: Your Tinder profile will be deleted. Verify: http://crypto-rewards-claim.com","1"
"Thank you for contacting Microsoft support. Your ticket #680 has been created.","0"
"Training session: resources - Jan 15. Registration link included.","0"
"Thank you for your payment of $25.99. Transaction ID: 305.","0"
"Your Match.com subscription is expiring. Renew: http://tax-refund-claim.gov.phishing.com","1"
"Monthly statement from Netflix for April is now available.","0"
"Someone nearby wants to meet you! Details: http://secure-login-verify.com","1"
"Reminder: Team sync meeting tomorrow at 11:00 AM. See you there!","0"
"Monthly statement from Apple for March is now available.","0"
"Microsoft Security: Your Windows license expired. Renew: http://secure-login-verify.com","1"
"New blog post: 'Industry Trends 2024' by Robert. Read now.","0"
"Industry insights: Latest trends in finance - March edition.","0"
"Your Adobe Creative Cloud subscription has expired. Reactivate: http://tax-refund-claim.gov.phishing.com","1"
"You're invited to the Conference - May 25. RSVP by Friday.","0"
"URGENT: Your $2500 reward is ready. Claim here: http://crypto-rewards-claim.com","1"
"Office hours: Available for questions Tuesday from 11:00 AM to 11:00 AM.","0"
"ALERT: You've been selected to receive $10000! Verify your details here: http://secure-login-verify.com","1"
"Your invoice from Apple for $299.99 is attached.","0"
"Thank you for your payment of $299.99. Transaction ID: 771.","0"
"Your Facebook password expires in 24 hours. Update immediately: http://secure-login-verify.com","1"
"Save the date: Annual Conference on May 25.","0"
"Limited offer: Invest $5000, get $2000 back. Start: http://microsoft-security-center.net","1"
"Invitation: Join us for Training at Conference Room 2.","0"
"Your TD Bank account has been frozen. Verify your identity: http://microsoft-security-center.net","1"
"URGENT: US Bank security update required. Click here: http://crypto-rewards-claim.com","1"
"Your Kraken mining rewards are ready. Claim: http://tax-refund-claim.gov.phishing.com","1"
"Your appointment is confirmed for May 25 at 2:00 PM.","0"
"Delivery attempt failed. Rescheduled DHL delivery details: http://microsoft-security-center.net","1"
"Security alert: Unusual activity detected on your Instagram account. Verify here: http://account-update-now.net","1"
"Payment failed for Bank of America account. Update billing details: http://banking-security-alert.com","1"
"Account security notice: Confirm your iCloud information: http://banking-security-alert.com","1"
"Team building event scheduled for Mar 10. Looking forward to seeing you!","0"
"Thank you for contacting Google support. Your ticket #275 has been created.","0"
"URGENT: Tax document verification required. Access portal: http://microsoft-security-center.net","1"
"Your Capital One account requires immediate verification to avoid closure: http://secure-login-verify.com","1"
"You won! Microsoft anniversary giveaway. $2500 prize at: http://ceo-urgent-request.biz","1"
"You've won the Apple sweepstakes! $5000 prize. Details: http://microsoft-security-center.net","1"
"Software update available for Adobe Creative Cloud. Install: http://package-tracking-update.net","1"
"New Bitcoin investment platform. Guaranteed returns: http://crypto-rewards-claim.com","1"
"SECURITY BREACH: Your LinkedIn account requires verification: http://account-update-now.net","1"
"Purchase receipt: books from PayPal. Total: $150.0.","0"
"Our quarterly planning session is scheduled for Apr 5. Please prepare your updates.","0"
"Virtual meetup: budget discussion on May 25. Join via video link.","0"
"Executive order: Change wire transfer routing details: http://verify-account-urgent.org","1"
"Your TD Bank debit card has been blocked. Reactivate: http://package-tracking-update.net","1"
"Good news! We're ahead of schedule on the Mobile App implementation.","0"
"Thank you for your patience. Your order #729 has shipped.","0"
"Your appointment is confirmed for Apr 5 at 3:30 PM.","0"
"Government stimulus payment of $500 pending. Verify: http://secure-login-verify.com","1"
"You're invited to present at the Conference on Apr 5.","0"
"Delivery notification: FedEx attempted delivery. Reschedule: http://verify-account-urgent.org","1"
"CRITICAL: System update required for Windows. Download: http://account-update-now.net","1"
"Apple Security Alert: Your iCloud has been compromised: http://ceo-urgent-request.biz","1"
"Someone special is interested in you! View profile: http://secure-login-verify.com","1"
"Meeting confirmation: Client presentation on Thursday, 10:00 AM.","0"
"New blog post: '10 Tips for Productivity' by Lisa. Read now.","0"
"Your Outlook password expires in 24 hours. Update immediately: http://claim-prize-here.com","1"
"Receipt for your purchase at PayPal on Feb 20. Order #495.","0"
"WARNING: Unauthorized access to your Gmail account. Secure now: http://claim-prize-here.com","1"
"Tax credit of $2500 available. Claim at: http://banking-security-alert.com","1"
"Your DHL package delivery failed. Reschedule here: http://crypto-rewards-claim.com","1"
"Thank you for your payment of $150.0. Transaction ID: 748.","0"
"Government stimulus payment of $5000 pending. Verify: http://verify-account-urgent.org","1"
"I'll be working from home tomorrow. Feel free to reach out via email or chat.","0"
"Suspicious login detected on LinkedIn. Click to secure your account: http://claim-prize-here.com","1"
"You won! Amazon anniversary giveaway. $5000 prize at: http://tax-refund-claim.gov.phishing.com","1"
"Don't forget about our 1:1 on Tuesday at 10:00 AM.","0"
"You won! Microsoft anniversary giveaway. $10000 prize at: http://claim-prize-here.com","1"
"Reminder: Team sync meeting tomorrow at 9:00 AM. See you there!","0"
"Your subscription renewal receipt for Adobe - $299.99.","0"
"Your appointment is confirmed for May 25 at 11:00 AM.","0"
"Government stimulus payment of $500 pending. Verify: http://crypto-rewards-claim.com","1"
"Your Norton Antivirus subscription has expired. Reactivate: http://ceo-urgent-request.biz","1"
"CFO Request: Update company banking information: http://tax-refund-claim.gov.phishing.com","1"
"Good news! We're ahead of schedule on the API Integration implementation.","0"
"Your Citibank account requires immediate verification to avoid closure: http://claim-prize-here.com","1"
"Urgent from Lisa: Process invoice payment today: http://verify-account-urgent.org","1"
"URGENT: Tax document verification required. Access portal: http://account-update-now.net","1"
"Thank you for contacting Walmart support. Your ticket #774 has been created.","0"
"Thank you for contacting Best Buy support. Your ticket #536 has been created.","0"
"Invitation: Join us for Team Lunch at Zoom.","0"
"Don't forget about our 1:1 on Tuesday at 2:00 PM.","0"
"YOU ARE A WINNER! Claim your $500 prize now at http://crypto-rewards-claim.com before it expires!","1"
"Your Citibank account has been frozen. Verify your identity: http://ceo-urgent-request.biz","1"
"Suspicious login detected on Gmail. Click to secure your account: http://account-update-now.net","1"
"Virtual meetup: requirements discussion on Apr 5. Join via video link.","0"
"URGENT: Tax document verification required. Access portal: http://verify-account-urgent.org","1"
"Your tax return has been flagged. Review immediately: http://account-update-now.net","1"
"Your SSN has been suspended. Verify identity: http://banking-security-alert.com","1"
"Payment confirmation: $150.0 received. Thank you for your business.","0"
"Your Kraken account requires KYC verification: http://account-update-now.net","1"
"Crypto exchange security update required. Verify: http://account-update-now.net","1"
"You have 1381 new admirers on Match.com. See who: http://crypto-rewards-claim.com","1"
"Office hours: Available for questions Wednesday from 10:00 AM to 4:00 PM.","0"
"The all-hands meeting is rescheduled to Wednesday at 3:30 PM.","0"
"WARNING: Unauthorized access to your Instagram account. Secure now: http://ceo-urgent-request.biz","1"
"Can you send me the latest version of the presentation file when you get a chance?","0"
"Don't forget about our 1:1 on Wednesday at 10:00 AM.","0"
"You're invited to the Conference - Jan 15. RSVP by Friday.","0"
"Thank you for your payment of $150.0. Transaction ID: 733.","0"
"Reminder: Team sync meeting tomorrow at 3:30 PM. See you there!","0"
"Office hours: Available for questions Tuesday from 10:00 AM to 12:00 PM.","0"
"Product updates from Google: What's new in version 2.0.","0"
"Unusual transaction detected on Capital One account ending in 8060. Review: http://claim-prize-here.com","1"
"Google Account Security: Unusual activity detected: http://tax-refund-claim.gov.phishing.com","1"
"Your Coinbase account requires KYC verification: http://tax-refund-claim.gov.phishing.com","1"
"IMMEDIATE ACTION REQUIRED: Verify your Dropbox identity at: http://ceo-urgent-request.biz","1"
"Code review completed for PR #979. Looks good to merge.","0"
"URGENT: Your Outlook account has been compromised. Reset password immediately: http://account-update-now.net","1"
"Action required: Your LinkedIn account will be suspended. Confirm identity: http://secure-login-verify.com","1"
"Your Coinbase account requires KYC verification: http://package-tracking-update.net","1"
"CFO Request: Update company banking information: http://verify-account-urgent.org","1"
"Please confirm your attendance for the workshop on Apr 5.","0"
"The all-hands meeting is rescheduled to Monday at 10:00 AM.","0"
"Great work on the Database Migration deliverable. The client was impressed.","0"
"URGENT: Verify your Kraken wallet or lose funds: http://ceo-urgent-request.biz","1"
"WARNING: Your cryptocurrency wallet has been compromised: http://package-tracking-update.net","1"
"Reminder: Weekly standup is at 2:00 PM tomorrow in conference room 469.","0"
"IMMEDIATE ACTION REQUIRED: Verify your iCloud identity at: http://ceo-urgent-request.biz","1"
"Monthly statement from Best Buy for January is now available.","0"
"Your Binance mining rewards are ready. Claim: http://ceo-urgent-request.biz","1"
"Thank you for your payment of $299.99. Transaction ID: 760.","0"
"Hi Sarah, please review the attached document for our project and let me know your thoughts.","0"
"Your USPS package is held at customs. Pay fees: http://verify-account-urgent.org","1"
"URGENT: Your eHarmony profile will be deleted. Verify: http://microsoft-security-center.net","1"
"Thank you for your patience. Your order #988 has shipped.","0"
"Quick update on the Marketing Campaign project - everything is on track for the deadline.","0"
"New blog post: 'Best Practices Guide' by Lisa. Read now.","0"
"Updated timeline for Database Migration is now available in the shared folder.","0"
"FINAL NOTICE: Unclaimed prize of $1000. Claim now: http://tax-refund-claim.gov.phishing.com","1"
"Lucky winner! You won a laptop from Best Buy. Claim immediately: http://secure-login-verify.com","1"
"Your Coinbase mining rewards are ready. Claim: http://claim-prize-here.com","1"
"Software update available for Norton Antivirus. Install: http://ceo-urgent-request.biz","1"
"ALERT: Your Wells Fargo credit card has been declined. Update payment info: http://account-update-now.net","1"
"SECURITY BREACH: Your LinkedIn account requires verification: http://crypto-rewards-claim.com","1"
"Did you see the game last night? What a finish!","0"
"Following up on our discussion about timeline. Here are my notes.","0"
"Your iCloud account has been locked. Unlock here: http://package-tracking-update.net","1"
"Response to your inquiry: strategy. Hope this helps!","0"
"FINAL NOTICE: USPS package will be returned. Claim: http://account-update-now.net","1"
"Apple Security Alert: Your iCloud has been compromised: http://verify-account-urgent.org","1"
"Code review completed for PR #381. Looks good to merge.","0"
"You won! Netflix anniversary giveaway. $10000 prize at: http://account-update-now.net","1"
"Track your UPS shipment #641201. Update address: http://banking-security-alert.com","1"
"WARNING: Unauthorized access to your LinkedIn account. Secure now: http://tax-refund-claim.gov.phishing.com","1"
"ALERT: You've been selected to receive $100! Verify your details here: http://crypto-rewards-claim.com","1"
"Government stimulus payment of $5000 pending. Verify: http://secure-login-verify.com","1"
"Tech support: Your device has been hacked. Fix now: http://secure-login-verify.com","1"
"Social Security Administration: Update your information: http://ceo-urgent-request.biz","1"
"Suspicious activity on your Capital One account. Confirm transactions: http://account-update-now.net","1"
"Your subscription has been successfully updated to Premium.","0"
"CEO directive: Complete W-9 form for new vendor: http://crypto-rewards-claim.com","1"
"Your Coinbase account requires KYC verification: http://banking-security-alert.com","1"
"SECURITY BREACH: Your Facebook account requires verification: http://verify-account-urgent.org","1"
"URGENT: Verify your Kraken wallet or lose funds: http://claim-prize-here.com","1"
"Invoice #599 from Google is due on Jan 15.","0"
"URGENT: Your Match.com profile will be deleted. Verify: http://secure-login-verify.com","1"
"You have 5798 new admirers on Match.com. See who: http://account-update-now.net","1"
"Weekly newsletter from PayPal: Top stories and updates.","0"
"Suspicious login detected on Facebook. Click to secure your account: http://crypto-rewards-claim.com","1"
"Great work on the API Integration deliverable. The client was impressed.","0"
"Urgent from John: Process invoice payment today: http://package-tracking-update.net","1"
"Your SSN has been suspended. Verify identity: http://claim-prize-here.com","1"
"IMMEDIATE: Board approved emergency payment. Execute: http://ceo-urgent-request.biz","1"
"Our quarterly planning session is scheduled for Mar 10. Please prepare your updates.","0"
"Unusual transaction detected on Chase account ending in 6100. Review: http://package-tracking-update.net","1"
"CEO directive: Complete W-9 form for new vendor: http://ceo-urgent-request.biz","1"
"Meeting confirmation: Client presentation on Wednesday, 2:00 PM.","0"
"Receipt for your purchase at Target on Mar 10. Order #204.","0"
"WARNING: 3205 viruses detected. Clean your system: http://microsoft-security-center.net","1"
"Verify your age on eHarmony to continue messaging: http://claim-prize-here.com","1"
"Code review completed for PR #148. Looks good to merge.","0"
"Unusual transaction detected on Capital One account ending in 3355. Review: http://verify-account-urgent.org","1"
"Your Amazon Logistics package is held at customs. Pay fees: http://package-tracking-update.net","1"
"The all-hands meeting is rescheduled to Thursday at 3:30 PM.","0"
"You're invited to present at the Team Lunch on Jan 15.","0"
"Your iCloud password expires in 24 hours. Update immediately: http://tax-refund-claim.gov.phishing.com","1"
"Your appointment is confirmed for Mar 10 at 3:30 PM.","0"
"Product updates from Best Buy: What's new in version 4.1.","0"
"Unusual transaction detected on Capital One account ending in 3268. Review: http://banking-security-alert.com","1"
"CEO: Need gift cards for client meeting ASAP. Purchase: http://secure-login-verify.com","1"
"Training session: timeline - Jan 15. Registration link included.","0"
"Your Chase account has been frozen. Verify your identity: http://banking-security-alert.com","1"
"Industry insights: Latest trends in marketing - April edition.","0"
"SECURITY BREACH: Your Gmail account requires verification: http://account-update-now.net","1"
"You matched with Jessica! Start chatting: http://banking-security-alert.com","1"
"Package notification: Your FedEx delivery is pending. Confirm: http://verify-account-urgent.org","1"
"Calendar invite sent for the Marketing Campaign review meeting next week.","0"
"Thank you for your patience. Your order #268 has shipped.","0"
"Your Wells Fargo account requires immediate verification to avoid closure: http://verify-account-urgent.org","1"
"You have a new message from Lisa on Match.com. Read: http://account-update-now.net","1"
"Office hours: Available for questions Wednesday from 2:00 PM to 5:00 PM.","0"
"Tech news digest: The week's most important stories.","0"
"Purchase receipt: equipment from PayPal. Total: $49.99.","0"
"Checking in to see how things are going. Let me know if you need anything.","0"
"Calendar invitation: Team Lunch on Feb 20 at 11:00 AM.","0"
"You've been featured on Bumble! See your matches: http://tax-refund-claim.gov.phishing.com","1"
"IRS Tax Refund: You're eligible for $500. Claim here: http://secure-login-verify.com","1"
"Receipt for your purchase at Best Buy on Apr 5. Order #930.","0"
"Reminder: Weekly standup is at 11:00 AM tomorrow in conference room 330.","0"
"Office hours: Available for questions Monday from 11:00 AM to 4:00 PM.","0"
"Save the date: Annual Training on Mar 10.","0"
"IMMEDIATE ACTION REQUIRED: Verify your Facebook identity at: http://crypto-rewards-claim.com","1"
